id,average,playingtime,minplayers,maxplayers,yearpublished,minage,players
30549,7.59,45,2,4,2008,8,3
822,7.42,45,2,5,2000,7,3.5
13,7.14,120,3,4,1995,10,3.5
68448,7.74,30,2,7,2010,10,4.5
36218,7.61,30,2,4,2008,13,3
9209,7.41,60,2,5,2004,8,3.5
178900,7.6,15,2,8,2015,14,5
167791,8.42,120,1,5,2016,12,3
173346,8.11,30,2,2,2015,10,2
31260,7.93,150,1,5,2007,12,3
3076,7.97,150,3,5,2002,12,4
148228,7.44,30,2,4,2014,10,3
169786,8.22,115,1,5,2016,14,3
40692,7.25,80,2,5,2009,8,3.5
14996,7.54,60,2,5,2005,8,3.5
230802,7.8,45,2,4,2017,8,3
70323,7.17,30,2,6,2011,8,4
129622,7.23,20,2,4,2012,10,3
2651,7.84,120,2,6,2004,12,4
266192,8.1,70,1,5,2019,10,3
39856,7.24,30,3,6,2008,8,4.5
163412,7.64,30,2,2,2014,8,2
84876,8.13,90,2,4,2011,12,3
478,7.08,60,2,8,2000,10,5
28143,7.76,60,2,4,2007,12,3
110327,7.75,120,2,5,2012,12,3.5
174430,8.74,120,1,4,2017,14,2.5
34635,7.55,90,2,4,2008,10,3
161936,8.59,60,2,4,2015,13,3
65244,6.78,30,2,4,2010,10,3
1927,5.89,120,3,6,2001,10,4.5
12333,8.28,180,2,2,2005,13,2
120677,8.12,150,2,5,2012,12,3.5
98778,7.07,25,2,5,2010,8,3.5
150376,7.54,120,2,5,2014,13,3.5
54043,7.5,30,2,2,2009,12,2
11,7.04,45,2,7,1997,13,4.5
10547,7.06,60,3,6,2004,12,4.5
50,7.19,30,2,2,1999,10,2
131357,7,15,2,6,2012,13,4
147020,7.58,20,2,2,2014,12,2
133473,7.04,15,2,5,2013,8,3.5
70919,7.26,45,2,4,2011,8,3
170216,7.99,90,2,4,2015,14,3
15987,7.25,240,1,8,2005,14,4.5
41114,7.27,30,5,10,2009,13,7.5
121921,7.82,120,1,4,2012,14,2.5
204583,7.35,15,2,4,2016,8,3
181304,7.28,42,2,7,2015,10,4.5
183394,8.06,90,1,6,2015,13,3.5
157354,7.78,80,2,4,2014,13,3
463,7.54,20,2,2,1993,13,2
37111,7.74,180,3,6,2008,14,4.5
126163,7.89,90,2,4,2012,13,3
205637,8.16,120,1,2,2016,14,1.5
193738,8.29,150,2,4,2016,12,3
162886,8.36,120,1,4,2017,13,2.5
201808,7.82,60,2,4,2016,12,3
2655,7.32,20,2,2,2000,9,2
181,5.59,120,2,6,1959,10,4
237182,8.1,90,2,4,2018,10,3
124361,8.12,100,2,5,2013,13,3.5
194655,7.44,20,2,4,2016,8,3
146021,7.78,240,1,8,2013,14,4.5
157969,7.12,60,3,5,2014,14,4
40834,7.71,30,2,6,2009,13,4
31481,7.39,60,2,4,2007,10,3
171,7.15,0,2,2,1475,6,2
1406,4.37,180,2,8,1933,8,5
199561,7.51,45,1,4,2017,14,2.5
103343,7.58,240,3,6,2011,14,4.5
6249,7.03,60,2,6,2003,8,4
102794,8,210,1,7,2013,12,4
244521,7.85,45,2,4,2018,10,3
96848,8.1,240,1,4,2011,14,2.5
199792,8.1,80,1,4,2018,13,2.5
39463,7.54,120,3,5,2008,12,4
128882,7.56,30,5,10,2012,13,7.5
205059,8.02,180,1,5,2016,14,3
143884,6.62,30,2,4,2012,10,3
320,6.27,90,2,4,1948,10,3
132531,7.65,45,2,5,2014,13,3.5
35677,7.87,150,1,5,2008,12,3
3955,6.51,40,4,7,2002,10,5.5
124742,7.88,45,2,2,2012,14,2
9220,6.56,30,3,10,2004,8,6.5
18602,7.75,150,2,5,2005,12,3.5
136063,7.12,45,2,5,2013,10,3.5
148949,7.57,60,2,5,2014,10,3.5
72125,7.88,180,2,6,2011,14,4
158899,7.11,40,2,6,2014,10,4
10630,7.56,60,2,8,2004,8,5
42,7.7,90,2,4,1997,12,3
15062,7.11,80,3,7,2005,10,5
192291,7.45,20,2,8,2016,8,5
172,7.23,30,3,6,1997,10,4.5
182028,8.38,120,2,4,2015,14,3
187645,8.42,240,2,4,2016,14,3
224517,8.66,120,2,4,2018,14,3
146508,7.5,90,2,4,2015,12,3
284083,7.97,20,2,5,2019,10,3.5
172225,6.04,15,2,5,2015,7,3.5
122522,6.73,45,2,4,2012,12,3
16992,6.67,20,2,8,2004,8,5
50381,5.86,30,4,30,2009,17,17
164928,8.07,90,2,4,2014,12,3
93,7.75,120,2,5,1995,12,3.5
2453,6.87,20,2,4,2000,7,3
153938,7.04,30,2,8,2014,8,5
103885,7.67,45,2,2,2012,14,2
104162,7.67,120,1,5,2012,14,3
147949,7.12,10,3,10,2014,8,6.5
2223,5.41,30,2,10,1971,6,6
155426,7.54,90,1,4,2014,13,2.5
100423,6.98,90,1,8,2011,13,4.5
432,6.93,45,2,10,1994,8,6
18,7.08,120,2,8,1994,12,5
8217,7.25,60,2,4,2004,10,3
244992,6.87,20,2,4,2018,8,3
123260,7.51,90,1,4,2012,8,2.5
154203,7.38,90,1,4,2014,10,2.5
123540,6.97,45,2,5,2012,8,3.5
2653,7.31,60,2,4,1982,8,3
108745,7.4,60,2,4,2012,14,3
176494,7.42,50,2,5,2015,8,3.5
100901,7.19,45,2,6,2011,10,4
12942,7.06,20,3,7,2004,8,5
77423,7.65,60,1,2,2011,13,1.5
171623,7.84,100,2,4,2015,12,3
164153,8,120,1,5,2014,14,3
233867,7.6,25,1,100,2018,10,50.5
104006,7.52,90,2,4,2011,12,3
143741,6.94,15,3,8,2013,8,5.5
28720,8.18,120,2,4,2007,14,3
107529,6.96,45,2,4,2011,8,3
188834,7.55,45,5,10,2016,13,7.5
129437,7.56,60,1,5,2012,14,3
236457,7.81,80,1,5,2018,12,3
209685,7.35,45,2,5,2017,8,3.5
73439,7.75,90,1,4,2010,12,2.5
122515,7.78,120,2,6,2012,12,4
177736,8.21,120,1,4,2016,12,2.5
8203,6.7,20,2,4,2003,8,3
37046,7.31,60,1,4,2008,12,2.5
116,6.53,30,2,5,1998,12,3.5
12,7.48,60,2,5,1999,12,3.5
161970,7.67,120,2,4,2014,13,3
166384,6.85,15,3,8,2014,13,5.5
220308,8.47,150,1,4,2017,12,2.5
218603,7.09,60,2,4,2017,10,3
54998,7.52,90,2,5,2009,13,3.5
5782,6.97,30,2,5,2003,8,3.5
180263,8.05,1000,1,4,2017,14,2.5
62219,7.84,240,2,6,2010,14,4
27162,7.19,90,2,5,2007,13,3.5
5,7.34,90,2,6,1964,12,4
21790,7.1,60,2,4,2006,10,3
12493,7.83,240,3,6,2005,14,4.5
198773,7.24,15,2,8,2016,10,5
2511,7.7,120,1,8,1982,13,4.5
54,7.33,90,2,4,1999,10,3
1294,5.67,45,2,6,1949,8,4
25613,7.9,120,2,4,2006,12,3
170042,7.77,80,2,4,2015,12,3
15512,6.82,30,3,8,2005,8,5.5
118,7.44,45,3,5,1992,10,4
74,5.79,30,4,10,1999,12,7
92828,7.44,30,3,12,2011,8,7.5
43570,7.14,25,1,1,2011,13,1
156129,7.49,20,4,12,2014,14,8
37904,7.02,60,2,10,2008,8,6
